Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
PENN A KEM LLC,3324 CHELSEA,IDB0900A000000,0009000000000D,12/31/2011,12/31/2026,"$7,382",$100,"$1,846","-$5,437"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0901A000000,0009010000000D,12/31/2011,12/31/2026,"$204,937",$100,"$51,234","-$153,603"
"KTG USA, LP",400 MAHANNAH,IDB0904A000000,0009040000000D,12/31/2012,12/31/2027,"$396,355",$100,"$99,089","-$297,167"
PMC BIOGENIX INC,1231 POPE,IDB0907A000000,0009070000000D,12/31/2012,12/31/2024,"$162,883",$100,"$40,721","-$122,062"
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB0908A000000,0009080000000D,12/31/2012,12/31/2026,"$36,562",$100,"$9,141","-$27,322"
"NIKE TN, INC",3100 NEW FRAYSER,IDB09120000000,"0900780000025C, 09007800000280, 09007800000290, 09007800000300",12/31/2013,12/31/2028,"$1,953,681","$22,565","$488,420","-$1,442,696"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS,IDB0917A000000,0009170000000D,12/31/2013,12/31/2028,$70,$100,$18,$47
PENN A KEM LLC,3324 CHELSEA,IDB0920A000000,0009200000000D,12/31/2013,12/31/2028,"$18,858",$100,"$4,715","-$14,044"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0921A000000,0009210000000D,12/31/2013,12/31/2028,"$100,949",$100,"$25,237","-$75,612"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0922A000000,0009220000000D,12/31/2013,12/31/2028,"$30,648",$100,"$7,662","-$22,886"
"NIKE TN, INC",3100 NEW FRAYSER,IDB0924A000000,0009240000000D,12/31/2013,12/31/2028,$236,$100,$59,-$77
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB0926A000000,0009260000000D,12/31/2013,12/31/2027,$374,$100,$94,-$181
"KTG USA, LP",400 MAHANNAH,IDB0927A000000,0009270000000D,12/31/2013,12/31/2028,"$122,941",$100,"$30,735","-$92,106"
LUCITE INTERNATIONAL INC,2665 FITE,IDB0930A000000,0009300000000D,12/31/2013,12/31/2028,"$23,084",$100,"$5,771","-$17,213"
RBM CHERRY ROAD PARTNERS,1029 CHERRY,IDB09330000000,"05812600000270, 05812600000280",12/31/2013,12/31/2028,"$280,866","$11,640","$70,216","-$199,009"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB0935A000000,0009350000000D,12/31/2013,12/31/2028,"$5,028",$100,"$1,257","-$3,671"
BRYCE CORPORATION,4505 LAMAR,IDB0937A000000,0009370000000D,12/31/2013,01/01/2025,"$6,700",$100,"$1,675","-$4,925"
"WPT EASTPARK, II, LP",5405 HICKORY HILL,IDB09380000000,9420000004870,01/01/2014,01/01/2025,"$185,807","$11,932","$46,452","-$127,423"
MCKESSON CORPORATION,4836 SOUTHRIDGE BLVD (RX PAK,IDB0939A000000,0009390000000D,12/31/2012,12/31/2023,"$5,412",$100,"$1,353","-$3,959"
PMC BIOGENIX INC,1285 POPE,IDB0944A000000,0009440000000D,12/31/2011,12/31/2023,"$2,611",$100,$653,"-$1,858"
MCKESSON CORPORATION,4971 SOUTHRIDGE,IDB0945A000000,0009450000000D,12/31/2011,12/31/2023,"$12,616",$100,"$3,154","-$9,362"
"UNITED PARCEL SERVICE, INC",0 WINCHESTER,IDB09500000000,"06017400001400, 0601760000383L, 0601860000008L",07/01/2014,07/01/2025,"$407,577","$203,788",$0,"-$203,788"
LUCITE INTERNATIONAL INC,7275 GOODLETT FARMS,IDB0953A000000,0009530000000D,12/31/2014,12/31/2029,"$50,069",$100,"$12,517","-$37,452"
AB MAURI FOODS INC,2743 RIVERPORT,IDB0955A000000,0009550000000D,12/31/2014,12/31/2022,"$2,800",$100,"$1,120","-$1,580"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB09570000000,9420000004980,01/30/2015,01/30/2030,"$65,161","$4,470","$16,290","-$44,401"
"NIKE TN, INC",3100 NEW FRAYSER,IDB0958A000000,0009580000000D,12/31/2014,12/31/2029,"$120,073",$100,"$30,018","-$89,955"
PENN A KEM LLC,3324 CHELSEA,IDB0959A000000,0009590000000D,12/31/2014,12/31/2029,"$18,650",$100,"$4,662","-$13,887"
"KTG USA, LP",400 MAHANNAH,IDB0964A000000,0009640000000D,08/16/2014,08/16/2029,"$227,043",$100,"$56,761","-$170,182"
BRYCE CORPORATION,4505 LAMAR,IDB0965A000000,0009650000000D,12/31/2014,12/31/2025,"$6,937",$100,"$1,734","-$5,103"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB0967A000000,0009670000000D,12/31/2014,12/31/2027,"$42,925",$100,"$10,731","-$32,093"
MCKESSON CORPORATION,4001 QUEST WAY,IDB0969A000000,0009690000000D,12/31/2014,12/31/2025,"$60,039",$100,"$15,685","-$44,254"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0970A000000,0009700000000D,12/31/2014,12/31/2029,"$137,470",$100,"$34,367","-$103,002"
BLUES CITY BREWERY LLC,5151 RAINES,IDB0971A000000,0009710000000D,12/31/2014,12/31/2029,"$25,148",$100,"$6,287","-$18,761"
MCKESSON CORPORATION,4853 CRUMPLER (ROC -BLDG A),IDB0972A000000,0009720000000D,12/31/2014,12/31/2025,"$35,576",$100,"$30,068","-$5,408"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB0975A000000,0009750000000D,12/31/2014,12/31/2029,"$2,430",$100,$607,"-$1,722"
J M SMUCKER LLC,4789 CROMWELL,IDB09760000000,7403200000350,12/31/2014,12/31/2027,"$289,206","$38,117","$181,304","-$69,785"
MCKESSON CORPORATION,4836 SOUTHRIDGE (RX PAK),IDB0981A000000,0009810000000D,12/31/2012,12/31/2023,"$71,798",$100,$986,"-$70,712"
MCKESSON CORPORATION,4836 CRUMPER (ROC BLDG A),IDB0982A000000,0009820000000D,12/31/2013,12/31/2025,"$4,074",$100,"$1,019","-$2,956"
J M SMUCKER LLC,4789 CROMWELL,IDB0986A000000,0009860000000D,12/31/2014,12/31/2029,"$129,416",$100,"$32,354","-$96,962"
"NIKE TN, INC",0 RALEIGH FRAYSER,IDB09890000000,"09007800000250, 0900780000025C, 09007800000270, 09007800000300",07/31/2014,07/31/2029,"$91,510","$24,632","$22,877","-$44,001"
DREAM INDUSTRIAL MEMPHIS 1 LLC,4770 SOUTHPOINT,IDB09910000000,9420000004310,03/31/2015,03/31/2030,"$295,181","$156,750","$39,849","-$98,582"
HIGHWOODS REALTY LIMITED PARTNERSHIP,0 INTERNATIONAL PLACE,IDB09920000000,0800080000480C,12/31/2014,12/31/2029,"$687,850","$32,891","$171,963","-$482,997"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB0993A000000,0009930000000D,12/31/2014,12/31/2029,"$162,293",$100,"$40,573","-$121,620"
"OLD DOMINION FREIGHT LINE, INC",2208 SPIRIT OF 76,IDB09950000000,0791480000152C,12/31/2014,12/31/2023,"$191,860",$917,"$143,895","-$47,048"
"EXETER 4155 QUEST, LLC",4155 QUESTWAY,IDB09960000000,9340000005510,12/17/2015,12/17/2030,"$411,519","$18,221","$102,880","-$290,419"
EXETER 5800 CHALLENGE LLC,5800 CHALLENGE,IDB09980000000,9340000005490,12/17/2015,12/17/2030,"$252,566","$5,723","$63,141","-$183,702"
"IKEA U.S. EAST, LLC",0 GERMANTOWN,IDB10000000000,"09540000006000, 09650000007530, 09650000007540",12/31/2015,12/31/2026,"$454,796","$40,300","$113,285","-$301,211"
AB MAURI FOODS INC,2743 RIVERPORT,IDB1010A000000,0010100000000D,12/31/2015,12/31/2023,"$33,508",$100,"$13,403","-$20,005"
PENN A KEM LLC,3324 CHELSEA,IDB1020A000000,0010200000000D,12/31/2015,12/31/2030,"$43,326",$100,"$10,832","-$32,395"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB103A0000000,0001030000000D,12/31/2015,12/31/2030,$0,$100,$735,$835
DAYCO PRODUCTS,3530 RAINS,IDB1040A000000,0010400000000D,12/31/2015,12/31/2020,$0,$100,$0,$100
"CYBER GRAPHICS, LLC",3825 DELP,IDB1060A000000,0010600000000D,12/31/2015,12/31/2026,"$3,651",$100,$913,"-$2,638"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB1070A000000,0010700000000D,12/31/2015,12/31/2030,"$87,965",$100,"$21,991","-$65,874"
LUCITE INTERNATIONAL INC,2665 FITE,IDB1090A000000,0010900000000D,12/31/2015,12/31/2030,"$378,732",$100,"$94,683","-$283,949"
LUCITE INTERNATIONAL INC,7275 GOODLETTS FARM,IDB1100A000000,0011000000000D,12/31/2015,12/31/2030,"$21,143",$100,"$5,286","-$15,758"
COCA-COLA REFRESHMENTS USA INC,4774 SOUTHPOINT,IDB1130A000000,0011300000000D,12/31/2015,12/31/2030,"$2,590",$100,$648,"-$1,843"
CUMMINS INC,5800 CHALLENGE,IDB1150A000000,0011500000000D,12/31/2015,12/31/2030,"$9,662",$100,"$2,415","-$7,146"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1160A000000,0011600000000D,12/31/2015,12/31/2028,"$4,665",$100,"$1,166","-$3,399"
FEDEX SUPPLYCHAIN SYSTEM INC,5050 HOLMES,IDB11700000000,9420000005440,12/31/2015,10/15/2020,"$275,012","$148,079","$33,001","-$93,932"
J M SMUCKER LLC,4789 CROMWELL,IDB1190A000000,0011900000000D,12/31/2015,12/31/2030,"$6,429",$100,"$1,607","-$4,722"
"NUCOR STEEL MEMPHIS, INC",3601 PAUL R LOWRY,IDB1230A000000,0012300000000D,12/31/2015,12/31/2030,"$24,223",$100,"$6,056","-$18,067"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB1240A000000,0012400000000D,12/31/2015,12/31/2030,"$9,149",$100,"$2,287","-$6,762"
"MC IONIC SOLUTIONS US, INC",2665 FITE,IDB1250A000000,0012500000000D,12/31/2015,12/31/2030,"$38,788",$100,"$9,697","-$28,991"
INTERNATIONAL PAPER COMPANY,6420 POPLAR,IDB1270A000000,0012700000000D,12/31/2015,12/31/2030,"$19,437",$100,"$4,859","-$14,478"
INTERNATIONAL PAPER COMPANY,6400 POPLAR (THE TOWERS),IDB1280A000000,0012800000000D,12/31/2015,12/31/2030,"$24,682",$100,"$6,170","-$18,411"
"NIKE TN, INC",3100 NEW FRAYSER,IDB1300A000000,0013000000000D,12/31/2015,12/31/2030,"$105,025",$100,"$26,256","-$78,668"
"DREAM INDUSTRIAL MEMPHIS 2, LLC",5605 HOLMESCREST,IDB13200000000,9410000002920,12/31/2015,12/31/2026,"$535,297","$344,637","$62,897","-$127,763"
INTERNATIONAL PAPER COMPANY,6340 POPLAR,IDB13400000000,"0800080000340C, 08000800003410, 08000800003420",12/31/2015,12/31/2030,"$491,237","$28,605","$122,809","-$339,822"
"POPLAR/MASSEY, LLC",6340 POPLAR,IDB13600000000,"0800080000340C, 08000800003410, 08000800005670",12/31/2015,12/31/2030,"$491,237","$21,488","$155,582","-$314,166"
INTERNATIONAL PAPER COMPANY,1740 INTERNATIONAL,IDB1370A000000,0013700000000D,12/31/2015,12/31/2030,"$30,033",$100,"$7,508","-$22,425"
INTERNATIONAL PAPER COMPANY,6165 HOLMES,IDB1380A000000,0013800000000D,12/31/2015,12/31/2030,$0,$100,"$16,957","$17,057"
INTERNATIONAL PAPER COMPANY,3232 PLAYERS CLUB,IDB13900000000,8109100000040,12/31/2015,12/31/2030,"$116,442","$21,640","$29,111","-$65,692"
INTERNATIONAL PAPER COMPANY,2522 WINCHESTER,IDB14100000000,0601740000128L,12/31/2015,12/31/2030,"$22,725",$0,"$4,833","-$17,892"
INTERNATIONAL PAPER COMPANY,2522 WINCHESTER,IDB1420A000000,0014200000000D,12/31/2015,12/31/2030,$318,$100,$80,-$139
EVERGREEN PACKAGING INC,5350 POPLAR,IDB14300000000,5603900000290,11/30/2016,11/30/2031,"$225,901",$0,"$14,390","-$211,512"
PG PROPERTIES 17 LLC,0 SHELBY,IDB14500000000,"09360000002310, 09360000002340",01/31/2017,01/31/2027,"$152,718","$5,718","$38,180","-$108,821"
SERVICEMASTER CONSUMER SERVICES LIMITED,150 PEABODY,IDB1470A000000,0014700000000D,12/31/2016,12/31/2031,"$4,862",$0,"$1,216","-$3,647"
"SOLAE, LLC",4272 MENDENHALL,IDB1480A000000,0014800000000D,12/31/2016,12/31/2027,"$5,204",$100,"$1,301","-$3,803"
DAWSON LOGISTIC ASSETS LLC,4155 HOLMES,IDB15200000000,0941000000172C,05/01/2018,05/01/2033,"$557,092","$29,235","$131,964","-$395,893"
"SOLAE, LLC",4272 MENDENHALL,IDB1530A000000,0015300000000D,12/31/2017,12/31/2028,"$101,244",$100,"$25,311","-$75,833"
"CYBER GRAPHICS, LLC",4505 OLD LAMAR,IDB1540A000000,0015400000000D,12/31/2016,12/31/2027,"$62,427",$100,"$15,607","-$46,720"
"IKEA U.S. EAST, LLC",7900 IKEA WAY,IDB1560A000000,0015600000000D,12/31/2016,12/31/2027,"$40,767",$0,"$6,489","-$34,278"
J M SMUCKER LLC,4789 CROMWELL,IDB1580A000000,0015800000000D,12/31/2017,12/31/2032,"$8,833",$100,"$2,208","-$6,524"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB1590A000000,0015900000000D,12/31/2016,12/31/2031,"$5,522",$100,"$1,381","-$4,042"
"BIG BOX 5140 MEMPHIS OAKS, LLC",4010 HOLMES,IDB16000000000,"09410000001790, 09410000001800",04/30/2018,04/30/2033,"$465,553","$18,833","$111,662","-$335,057"
SOUTHRIDGE OWNER LP,4926 SOUTHRIDGE,IDB16100000000,"0937000000534C, 09430000005690",05/01/2018,05/01/2033,"$227,051","$12,304","$53,687","-$161,060"
"TAG AMERICAN WAY REAL ESTATE, LLC",4450 AMERICAN,IDB1670A000000,0016700000000D,12/31/2017,12/31/2029,$0,$0,"$3,546","$3,546"
US INDUSTRIAL REIT II,5215 LAMAR,IDB16800000000,9420000005460,04/30/2018,04/30/2033,"$485,543","$18,261","$116,820","-$350,461"
GPT INDUSTRIAL GROUP OWNER I LP,6100 HOLMES,IDB16900000000,9420000005070,06/04/2018,06/04/2026,"$497,923","$17,259","$120,166","-$360,498"
"TAG AMERICAN WAY REAL ESTATE, LLC",4430 AMERICAN,IDB17000000000,"07302200003710, 07302200003740",12/31/2017,12/31/2029,"$322,198","$15,968","$75,227","-$231,003"
"949 RIDGEWAY INVESTMENTS, LLC",949 SHADY GROVE,IDB17010000000,8002400000250,11/01/2018,11/01/2032,"$401,433","$248,595","$43,656","-$109,182"
HOLLYWOOD FEED LLC,1341 WARFORD,IDB17020000000,"0430060000008C, 04300600000110",07/31/2018,07/31/2028,"$15,264","$3,180","$3,021","-$9,064"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1703A000000,0017030000000D,12/31/2016,12/31/2029,"$59,235",$100,"$14,809","-$44,326"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1704A000000,0017040000000D,12/31/2017,12/31/2030,"$65,425",$100,"$16,356","-$48,968"
CARGILL INC,2330 BOUY,IDB1705A000000,0017050000000D,12/31/2017,12/31/2024,"$179,960",$0,"$44,990","-$134,970"
PREMIUM GUARD INCORPORATED,4770 HICKORY HILL,IDB1706A000000,0017060000000D,12/31/2017,12/31/2027,"$1,882",$0,$471,"-$1,412"
"WM BARR & COMPANY, INC",2210 BUOY,IDB17090000000,"05010200000440, 0501130000002c, 0501130000006C, 0501130000015C",08/31/2018,08/31/2027,"$114,380","$11,908","$25,618","-$76,854"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,5215 LAMAR,IDB1711A000000,0017110000000D,12/31/2018,12/31/2033,"$4,188",$0,"$1,047","-$3,141"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,5140 MEMPHIS OAKS,IDB1712A000000,0017120000000D,12/31/2018,12/31/2033,"$4,204",$100,"$1,051","-$3,053"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4926 SOUTHRIDGE,IDB1713A000000,0017130000000D,12/31/2018,12/31/2033,"$6,054",$0,"$1,514","-$4,541"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4155 HOLMES,IDB1714A000000,0017140000000D,12/31/2018,12/31/2033,"$3,809",$0,$952,"-$2,856"
"BARRETT DISTRIBUTION CENTERS, LLC",6100 HOLMES,IDB1715A000000,0017150000000D,06/04/2018,06/04/2020,"$84,462",$0,"$21,115","-$63,346"
MIMEO.COM,3350 MIAC,IDB1716A000000,0017160000000D,12/31/2018,12/31/2033,"$18,539",$0,"$4,635","-$13,904"
PREMIUM GUARD INCORPORATED,4770 HICKORY HILL,IDB1717A000000,0017170000000D,12/31/2018,12/31/2028,"$1,365",$0,$341,"-$1,024"
J M SMUCKER LLC,4789 CROMWELL,IDB1718A000000,0017180000000D,12/31/2018,12/31/2033,"$13,099",$100,"$2,456","-$10,543"
FRANKLIN SPORTS INC,5510 GETWELL,IDB1719A000000,0017190000000D,12/31/2018,12/31/2024,$800,$0,$200,-$600
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1720A000000,0017200000000D,03/31/2018,12/31/2029,"$30,718",$100,"$7,680","-$22,939"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1721A000000,0017210000000D,03/31/2018,12/31/2025,$97,$100,$24,$28
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1722A000000,0017220000000D,03/31/2018,12/31/2028,"$2,253",$100,$563,"-$1,589"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1723A000000,0017230000000D,03/31/2018,12/31/2026,$709,$100,$40,-$569
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1724A000000,0017240000000D,03/31/2018,12/31/2026,$33,$100,$8,$76
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1725A000000,0017250000000D,03/31/2018,03/31/2027,$185,$100,$46,-$39
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1726A000000,0017260000000D,03/31/2018,12/31/2025,$37,$100,$9,$73
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1727A000000,0017270000000D,03/31/2018,12/31/2030,$52,$100,$13,$61
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1728A000000,0017280000000D,03/18/2018,12/31/2028,$15,$100,$4,$89
"NUCOR STEEL MEMPHIS, INC",2315 PIER,IDB1729A000000,0017290000000D,12/31/2018,12/31/2023,"$35,366",$0,"$8,842","-$26,525"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1732A000000,0017320000000D,03/18/2018,12/31/2030,"$52,932",$100,"$13,233","-$39,599"
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1733A000000,0017330000000D,03/31/2018,12/31/2029,$24,$100,$6,$82
PLASKOLITE TENNESSEE LLC,2665 FITE,IDB1734A000000,0017340000000D,03/31/2018,12/31/2027,"$3,203",$100,$801,"-$2,302"
CARGILL INC,2330 BOUY,IDB1735A000000,0017530000000D,12/31/2018,12/31/2024,"$90,131",$0,"$22,533","-$67,598"
"IMPACT INNOVATIONS, INC",6269 SHELBY,IDB1736A000000,173600000000,12/31/2018,12/31/2027,"$17,643",$100,"$4,631","-$12,912"
EBROFROST NORTH AMERICA INC,2360 PROSPECT,IDB1737A000000,0017310000000D,12/31/2018,12/31/2026,"$23,053",$0,"$5,763","-$17,290"
"SERVICEMASTER GLOBAL HOLDINGS,INC",150 PEABODY,IDB1738A000000,0017640000000D,12/31/2018,12/31/2033,"$25,109",$0,"$6,277","-$18,832"
ONYX MEDICAL LLC,1800 SHELBY OAKS,IDB1741A000000,0017520000000D,12/31/2018,12/31/2028,"$36,715",$0,"$9,179","-$27,536"
HOLLYWOOD FEED LLC,1341 WORFORD,IDB1743A000000,0017510000000D,12/31/2018,12/31/2028,"$30,452",$0,"$7,613","-$22,839"
THE GREATER MEMPHIS AUTO DEALERS,2785 MENDENHALL,IDB17440000000,0740010A000060,04/18/2019,04/18/2034,"$6,102","$5,562",$93,-$447
"IDIG DAVENPORT, LLC",3292 HOLMES,IDB17450000000,9410000002890,12/31/2018,12/31/2031,"$545,347","$4,238","$136,337","-$404,772"
"WM BARR COMPANY, INC",6750 LENOX CENTER,IDB1748A000000,0017600000000D,12/31/2018,12/31/2027,"$90,950",$0,"$22,738","-$68,213"
FEDERAL EXPRESS CORPORATION,5050 HOLMES,IDB1750A000000,"0017500000000D, 0017540000000D",12/31/2018,12/31/2031,"$78,716",$100,"$19,679","-$58,937"
AMERICAN HOME SHIELD CORP,150 PEABODY,IDB1755A000000,0017550000000D,12/31/2018,12/31/2033,"$10,785",$0,"$2,696","-$8,089"
LUCITE INTERNATIONAL INC,2665 FITE,IDB1756A000000,0017560000000D,12/31/2011,12/31/2026,"$1,824",$0,$456,"-$1,368"
AMPRO INDUSTRIES INC,4171 STEELE ST,IDB1761A000000,0017610000000D,01/01/2021,12/31/2024,"$52,127",$0,"$13,032","-$39,096"
SERVICEMASTER CONSUMER SERVICES LIMITED,150 PEABODY,IDB1763A000000,0017630000000D,12/31/2017,12/31/2032,$382,$0,$96,-$287
"BINGHAMPTON GATEWAY, LLC",516 TILLMAN,IDB17660000000,"03704200000460, 03704200000470",12/31/2017,12/31/2032,"$68,763",$908,"$17,191","-$50,664"
WESTERN B SOUTH TN LLC,5625 CHALLENGE,IDB17670000000,9340000005650,05/18/2019,05/18/2029,"$334,772","$145,965","$47,202","-$141,606"
ONYX MEDICAL LLC,1800 SHELBY OAKS,IDB17690000000,0890440000360C,12/31/2018,12/31/2028,"$94,722","$49,089","$20,952","-$24,681"
VALERO REFINING COMPANY-TENNESSEE LLC,543 WEST MALLORY,IDB1772A000000,0017720000000D,12/31/2016,12/31/2031,"$231,196",$100,"$57,799","-$173,297"
RIVIANA FOODS INC,2314 LAURDERDALE,IDB1773A000000,0017730000000D,12/31/2019,12/31/2026,"$96,209",$0,"$24,052","-$72,157"
PEROXYCHEM LLC,2178 CENTRAL,IDB1774A000000,0017740000000D,12/31/2019,12/31/2021,"$34,229",$0,"$8,557","-$25,672"
"AGILENT TECHNOLOGIES, INC",5050 HOLMES,IDB1775A000000,0017500000000D,12/31/2018,12/31/2028,"$14,808",$0,"$3,702","-$11,106"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4926 SOUTHRIDGE,IDB1775A200000,0017750000000D,12/31/2019,12/31/2034,"$3,247",$0,$812,"-$2,435"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,6481 HIGHWAY 51,IDB1776A000000,0017760000000D,12/31/2019,12/31/2034,"$2,779",$0,$695,"-$2,085"
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,7990 TRINITY RD,IDB1777A000000,0017770000000D,12/31/2019,12/31/2034,$342,$0,$85,-$256
TECHNICOLOR VIDEOCASSETTE OF MICHIGAN,4155 HOLMES,IDB1778A000000,0017780000000D,12/31/2019,12/31/2034,"$5,716",$0,"$1,429","-$4,287"
PFIZER INC,1585 ELVIS PRESLEY,IDB1779A000000,0017790000000D,12/31/2019,12/31/2032,"$18,885",$0,"$4,721","-$14,164"
FRANKLIN SPORTS INC,5510 GETWELL,IDB1780A000000,0017800000000D,12/31/2019,12/31/2025,"$1,454",$0,$364,"-$1,091"
MIMEO.COM,3350 MIAC,IDB1782A000000,0017820000000D,12/31/2019,12/31/2034,"$7,280",$0,"$1,820","-$5,460"
