Board,Owner,Delinquent Years,Amount Due,Parcel No,PILOT Terminated
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",FOREST CREEK TOWNHOMES LLC,2022,203.4,IHE0003L000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",GMF-BENT TREE LLC,2022,"9,871.37",IHE0003W000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",GOSPEL GARDENS TN TC LP,2022,5 95.60,IHE0005A000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS","MEM3 CEDARWOOD, LLC",2022,"9 ,399.95",IHE0007I000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",MH STRATEGIES FAMILY RAD,2022,"2 8,387.01",IHE0006L000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",MH STRATEGIES FAMILY RAD,2022,"8 9,255.65",IHE0006Y000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",RENAISSANCE AT STEELE,2022,"8 ,487.20",IHE0005M000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",RIVERVIEW/KANSAS COMMUNITY DEVELOPMENT CORPORATION,2022,"3 ,858.81",IHE0003T000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS","TOV VIRGINIA PARTNERS, L.P.",2022,"59,119.70",IHE0002Y000000,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",TUP I LIMITED PARTNERSHIP,2022,"14,196.09",IHE0001U000000,NO
CITY / COUNTY CONTRACTS,SHIELD INC,2022,"3,958.50",IMC00000000040,NO
CITY / COUNTY CONTRACTS,CAAP PLACE OF HOPE INC,2022,913.5,IMC00000000090,NO
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF SHELBY COUNTY",,,,,
Downtown Memphis Center City Commission,158 VANCE LLC,2022,"16,630.32",ICC07620000000,NO
Downtown Memphis Center City Commission,18 S MAIN MEM LLC,2022,"4,785.53",ICC07670000000,NO
Downtown Memphis Center City Commission,9 SO. 2ND PROPERTIES LLC,2022,"7,622.69",ICC03940000000,NO
Downtown Memphis Center City Commission,"FLATS AT OVERTON SQUARE - PMT INVESTMENTS, LLC",2022,"1,090.13",ICC07770000000,NO
Downtown Memphis Center City Commission,FRIX PROPERTIES,2022,"4,131.09",ICC07180000000,NO
Downtown Memphis Center City Commission,HARBOR TOWN CENTRE,2016-2022,"5,746.65",ICC03860000000,NO
Downtown Memphis Center City Commission,MHF MEMPHIS VI LLC,2022,"77,861.61",ICC07610000000,NO
Downtown Memphis Center City Commission,NAIL BAR ON THE ISLAND LLC,2022,67.44,ICC07410000000,NO
Downtown Memphis Center City Commission,OLYMBEC USA - SANDERLIN PLACE,2022,"11,700.79",ICC00480000000,NO
Downtown Memphis Center City Commission,PARACHUTE INVESTMENT COMPANY LLC,2021-2022,"6,798.08",ICC07920000000,NO
Downtown Memphis Center City Commission,PARKING AUTHORITY CITY OF MEMPHIS & CNTY OF SHELBY - RISE PARKING GARAGE,2022,"1,757.69",ICC07590000000,NO
Downtown Memphis Center City Commission,PEABODY OFFICE TOWER LP,2022,24.78,ICC02410000000,NO
Downtown Memphis Center City Commission,PINCH PARTNERS INVESTMENT CO,2022,"2,064.51",ICC01140000000,NO
Downtown Memphis Center City Commission,"POPLAR ARTS LOFT, LLC",2020-2022,"69,613.17",ICC07800000000,NO
Downtown Memphis Center City Commission,"SOUTH BLUFFS, A JOINT VENTURE",2022,"1,515.35",ICC03950000000,NO
Downtown Memphis Center City Commission,THOB LLC,2021-2022,"12,389.00",ICC03200000000,NO
Downtown Memphis Center City Commission,"Wolf River Harbor Holdings, LLC",2022,"17,622.72",ICC08010000000,NO
ARLINGTON INDUSTRIAL DEVELOPMENT BOARD,W & D ARLINGTON LLC,2020,"1 38,288.61",IDB0000A000130,Yes
BARLETT INDUSTRIAL DEVELOPMENT BOARD,,,,,
COLLIERVILLE INDUSTRIAL DEVELOPMENT BOARD,,,,,
GERMANTOWN INDUSTRIAL DEVELOPMENT BOARD,,,,,
EDGE BOARD OF MEMPHIS AND SHELBY COUNTY,,,,,
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",CAPITAL COMMUNITIES ATLANTIC PLP,2012,"5 1,472.63",IHE0000X000000,YES
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",LEVI LIMITED PARTNERSHIP,2012-2014,"24,359.23",IHE0001M000000,YES
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",LYONS RIDGE APARTMENTS LP,2012-2016,"2 13,137.51",IHE0003B000000,YES
"HEALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF MEMPHIS",VILLAGE PARKWAY LP,2012-2016,"539,119.49",IHE0002Z000000,YES
"EALTH, EDUCATIONAL, AND HOUSING FACILITIES BOARD OF SHELBY COUNTY",,,,,
Downtown Memphis Center City Commission,,,,,
