Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
"7V Devco, LLC",7 VANCE AVE,ICC08040000000,0020750000001C,10/27/2021,04/27/2041,"$6,836","$7,947",$0,"$1,112"
9 SO. 2ND PROPERTIES LLC,21 SECOND,ICC03940000000,0020580000014C,02/17/1998,02/17/2034,"$54,201","$7,510",$0,"-$46,691"
"949 RIDGEWAY INVESTMENTS, LLC",949 SHADY GROVE,IDB17010000000,8002400000250,11/01/2018,11/01/2032,"$401,433","$248,595","$43,656","-$109,182"
"99-105 Front Street, LLC",99 S FRONT ST,ICC08000000000,0020410000009C,09/30/2020,09/30/2039,"$17,628","$18,502",$443,"$1,316"
"999 COOPER STREET PARTNERS, LLC",999 COOPER,ICC07760000000,3112000000100,12/18/2017,12/31/2025,"$35,122","$1,074","$8,512","-$25,536"
AB MAURI FOODS INC,2743 RIVERPORT,IDB1010A000000,0010100000000D,12/31/2015,12/31/2023,"$33,508",$100,"$13,403","-$20,005"
AB MAURI FOODS INC,2743 RIVERPORT,IDB0955A000000,0009550000000D,12/31/2014,12/31/2022,"$2,800",$100,"$1,120","-$1,580"
ABINGTON (PARKVIEW),4616 SCOTT CROSSING,IHE0003H000000,8803200000080,05/12/2012,05/14/2032,"$125,617","$25,425",$0,"-$100,192"
"ADVANTAGE WAY, LLC",3689 JAMES RD,IHE0003X000000,0830210000051C,06/30/2013,10/23/2023,"$141,169","$25,086",$0,"-$116,083"
AESTHETIC MANAGEMENT PARTNERS INC,9113 MACON ROAD,IDB18370000000,D0215000004660,07/01/2022,06/30/2034,"$33,379","$8,261","$2,141","-$22,977"
"AGILENT TECHNOLOGIES, INC",5050 HOLMES,IDB1775A000000,0017500000000D,12/31/2018,12/31/2028,"$14,808",$0,"$3,702","-$11,106"
"ALCO EASTERN CREEK PARTNERS, L.P.",3215 JOHNSON,IHE0005G000000,"0440210000001C, 04402100000030, 04402100000040, 04402100000050, 04402100000060, 04402100000070, 04402100000080, 0440220000001C, 04402300000010, 04402300000020, 04402300000030, 04402300000040, 08803200001240,",12/31/2016,12/31/2026,"$95,043","$21,589",$0,"-$73,455"
ALCO MANAGEMENT,1800 ROBINHOOD,IHE0006J000000,5809400000000,07/01/2020,06/30/2040,"$33,222","$8,461",$0,"-$24,761"
ALCO MANAGEMENT INC,2923 MIMOSA,IHE0005I000000,"03701100000350, 03701100000370",01/01/2020,12/31/2039,"$74,702","$33,609",$0,"-$41,093"
ALCO NORTHSIDE PARTNERS LP,1541 NORTHSIDE DR,IHE0003E000000,6906500000830,11/30/2011,12/31/2031,"$40,567","$7,458",$0,"-$33,109"
ALCO PERSHING PARTNERS LP,0 STEELE,IHE0000B000000,"07101400000950, 07101400000960",08/01/2008,12/31/2028,"$40,315","$14,754",$0,"-$25,562"
ALCO PRESIDENTIAL PARTNERS LP,5393 HUDGINS,IHE0003P000000,7914000000240,11/01/2012,12/31/2022,"$53,170","$17,140",$0,"-$36,030"
ALCO ROLLING HILLS PARTNERS,2830 N WATKINS,IHE0001X000000,070080000057C,11/01/2006,12/31/2026,"$36,493","$20,894",$0,"-$15,598"
ALCO SAINTS COURT PARTNERS LP,994 N. WATKINS,IHE0002S000000,"04003100000010, 04003200000010",12/15/2010,12/31/2031,"$50,252","$16,607",$0,"-$33,645"
"ALPHA 266 PROPERTIES, LLC",266 FRONT,ICC07560000000,"0021010000016C, 00210100000170, 00210100000180",09/22/2016,03/22/2026,"$108,145","$4,871","$25,818","-$77,455"
"ALPHA FRONT ST, PROERTIES - PRINTER'S ALLEY LLC",347 FRONT,ICC07400000000,0020960000003C,08/07/2012,08/07/2022,"$34,672","$13,869","$7,893","-$12,910"
ALPHA OMEGA VETERANS SERVICES INC,1465 COURT,IMC00000000100,0170220000007C,08/10/2012,End of Loan,"$21,776","$1,920",$0,"-$19,856"
ALPHATEC SPINE,1950 CAMINO VIDA RABLE ALY,IDB18510000000,7410100000290,01/01/2022,12/31/2032,"$37,356","$2,617","$5,448","-$29,292"
AMERICAN HOME SHIELD CORP,150 PEABODY,IDB1755A000000,0017550000000D,12/31/2018,12/31/2033,"$10,785",$0,"$2,696","-$8,089"
AMPRO INDUSTRIES INC,4171 STEELE ST,IDB1761A000000,0017610000000D,01/01/2021,12/31/2024,"$52,127",$0,"$13,032","-$39,096"
"ANNEX LOFTS, LLC",345 FRONT ST,ICC07510000000,209600000020,05/30/2014,11/30/2023,"$27,685","$3,884","$5,950","-$17,851"
APARTMENTS AT LAPALOMA LTD,0 PARKWAY,IPH0000F000000,0310940000003C,12/01/1998,12/01/2029,"$28,646","$3,513",$0,"-$25,133"
"APP BREEZY PARTNERS, L.L.L.P",1500 OBERLE AVE,IHE0007N000000,070037000041C,09/01/2022,08/31/2042,"$55,026","$9,196",$0,"-$45,830"
APPLE NINE HOSPITALITY - HAMPTON INN,175 PEABODY,ICC03190000000,"00205100000190, 00205100000290",12/31/1998,12/31/2038,"$188,923","$3,071",$0,"-$185,852"
APPLEWOOD PROPERTY MANAGEMENT,5294 COTTONWOOD RD,IHE0007D000000,"06205600001620, 06205600001640, 0620560000165C, 06205600001670",04/15/2021,04/14/2041,"$84,380","$33,545",$0,"-$50,835"
APRIL WOODS II PROPERTY,281 BICKFORD AVENUE,IHE0002B000000,"02202800000020, 0220280000003C, 02202800000120, 02202800000200, 0601690A00001C, 0601690A000090,",01/03/2008,01/01/2028,"$83,299","$4,996",$0,"-$78,304"
AQUASERVE,61 KEEL AVE,ICC07960000000,105200000010,03/05/2021,03/05/2034,"$10,143","$3,763","$1,595","-$4,785"
ASHTON HILLS MF BLUE VALLEY APARTMENTS LLC,4813 TROOST DRIVE,IHE0005J000000,9003200000180,08/05/2020,05/31/2040,"$46,103","$7,465",$0,"-$38,638"
AUTOZONE,123 FRONT,IDB1822A000001,179800000000,01/01/2021,12/31/2035,$0,$0,"$4,729","$4,729"
AUTOZONE INC,123 FRONT,ICC01050000000,0020440000004C,09/01/1993,09/01/2033,"$345,857","$12,885",$0,"-$332,973"
AUTOZONE INC,1585 ELVIS PRESLEY,IDB1790A000000,0017900000000D,12/31/2019,12/31/2034,"$19,438",$0,"$4,859","-$14,578"
AUTOZONE PART INC,"100, 104, 110, & 123 S. FRONT ST.",IDB1843A000000,"00204200000210,00204200000200,00204200 000190,0020440000004C",12/31/2021,12/31/2036,"$440,950",$0,"$13,413","-$427,536"
AUTOZONE PARTS,100 FRONT,IDB18240000000,"00204200000210,00204200000200, 00204200000190",02/01/2021,12/31/2024,"$95,092","$19,074","$21,567","-$54,451"
"A-Z LRC, 1, LLC",7625 APPLING CENTER DRIVE,IDB18360000000,9200500000530,01/01/2022,01/01/2032,"$105,128","$56,319","$12,202","-$36,607"
BANTAM AIRWAYS / ONE STOP HOUSING LLC,2949 AIRWAYS BLVD,IHE0006Q000000,7302200003580,06/01/2021,05/31/2031,"$12,251","$6,126",$0,"-$6,126"
BANTAM SPRINGBROOK / ONE STOP HOUSING LLC,1360 SPRINGBROOK,IHE0006R000000,602200002360,06/01/2021,05/31/2031,"$29,008","$14,504",$0,"-$14,504"
"BARRETT DISTRIBUTION CENTERS, LLC",6100 HOLMES,IDB1715A000000,0017150000000D,06/04/2018,06/04/2020,"$84,462",$0,"$21,115","-$63,346"
BEARMAN-GOLDEN GARDENS INC,4755 NEELY,IMC00000000020,7608900000760,11/20/2009,End of Loan,"$41,933","$3,300",$0,"-$38,633"
BELZ HARBOUR LLC,1835 UNION,ICC07770000000,"01604300000200, 01604300000210",12/28/2017,12/28/2032,"$350,827","$26,260","$81,142","-$243,425"
"BIG BOX 5140 MEMPHIS OAKS, LLC",4010 HOLMES,IDB16000000000,"09410000001790, 09410000001800",04/30/2018,04/30/2033,"$465,553","$18,833","$111,662","-$335,057"
BIG BOX PROPERTY OWNER C LLC,3955 HOLMES,IDB17950000000,"09410000001530, 09410000001550",12/31/2019,12/31/2029,"$651,966","$519,726","$33,491","-$98,750"
"BINGHAMPTON GATEWAY, LLC",516 TILLMAN,IDB17660000000,"03704200000460, 03704200000470",12/31/2017,12/31/2032,"$68,763",$908,"$17,191","-$50,664"
"Blue Suede Properties, LLC ICC0778",400 S MAIN ST,ICC07780000000,0021100B00001C,07/30/2020,07/30/2035,"$29,865","$24,891","$1,243","-$3,730"
BLUES CITY BREWERY LLC,5151 RAINES,IDB08690000000,9340000006280,05/02/2011,05/02/2026,"$248,294","$20,640","$62,074","-$165,581"
BLUES CITY BREWERY LLC,5151 RAINES,IDB0879A000000,0008790000000D,05/02/2011,05/02/2026,$0,$100,"$24,734","$24,834"
BLUES CITY BREWERY LLC,5151 RAINES,IDB0892A000000,0008920000000D,12/31/2012,12/31/2027,$837,$100,$209,-$528
BLUES CITY BREWERY LLC,5151 RAINES,IDB0971A000000,0009710000000D,12/31/2014,12/31/2029,"$25,148",$100,"$6,287","-$18,761"
BLUES CITY BREWERY LLC,5151 E RAINES,IDB1813A000000,0018130000000D,12/31/2020,12/31/2032,"$484,586",$0,"$90,860","-$393,726"
"BRARS, LLC - K & A INVESTMENTS",469 SECOND,ICC06110000000,"00102300000020, 00102300000030, 00102300000040, 00102300000050,",01/09/2004,01/09/2022,"$42,222","$21,564","$5,164","-$15,493"
"BRIMHALL FOOD COMPANY, INC",7472 A E BEATY,IDB0000B000160,B0158000004630,01/01/2018,01/01/2025,"$64,506","$4,987","$14,880","-$44,639"
BRISTOL APARTMENTS GENERAL PARTNERSHIP,1177 UNION,ICC05030000000,0180410000003C,03/15/2002,03/15/2022,"$286,197",$0,"$14,310","-$271,887"
BRYCE CORPORATION,4505 LAMAR,IDB0937A000000,0009370000000D,12/31/2013,01/01/2025,"$6,700",$100,"$1,675","-$4,925"
BRYCE CORPORATION,4505 LAMAR,IDB0965A000000,0009650000000D,12/31/2014,12/31/2025,"$6,937",$100,"$1,734","-$5,103"
C E WARE TOWERS INC,3571 HWY 61 S,IMC00000000050,7507400000750,10/01/2008,End of Loan,"$20,937","$3,300",$0,"-$17,637"
CAAP PLACE OF HOPE INC,1347 FERGUSON,IMC00000000090,0601620000005C,09/03/2010,End of Loan,"$11,153",$900,$0,"-$10,253"
Cabigao Investments,345 S MAIN,ICC08050000000,"00210300000050, 00210300000140",06/30/2021,06/30/2034,"$3,420","$4,027",$10,$617
CALDWELL HOUSING CORP,2310 ARDMORE,IMC00000000060,7209400000750,04/23/2011,End of Loan,"$11,108",$840,$0,"-$10,268"
CAMPBELL CLINIC - WR MOB,1400 GERMANTOWN,IDB0000G000070,"G0220000003690, G0220000004560, G0220000004570",12/31/2019,12/30/2027,"$671,422","$123,694","$136,932","-$410,796"
CAPITAL EQUITIES LLC,0 CAZASSA,IHE0003S000000,"07802800002960, 07802800002970, 07802800002980",05/01/2013,04/30/2023,"$117,916","$13,157",$0,"-$104,759"
CARGILL INC,2330 BOUY,IDB1705A000000,0017050000000D,12/31/2017,12/31/2024,"$179,960",$0,"$44,990","-$134,970"
CARGILL INC,2330 BOUY,IDB1735A000000,0017530000000D,12/31/2018,12/31/2024,"$90,131",$0,"$22,533","-$67,598"
CARL WINFIELD - ROBERT LAMB SULLIVAN,107 MADISON,ICC02190000000,"0020570A000010, 0020570A000020, 0020570A000030",12/31/1997,12/31/2022,"$2,522",$427,$0,"-$2,095"
CARUTHERS GROUP LLC,2035 MADISON,ICC07910000000,0170640000003C,06/30/2021,06/30/2031,"$8,773","$8,773",$0,$0
"CAVELIER COURT TN TC, LP",2552 PERES,IHE0004Z000000,4206800000800,09/13/2018,09/12/2028,"$41,663","$16,573",$0,"-$25,090"
CCL LABEL INC,720 PROGRESS,IDB0000C000210,C0245000003540,01/01/2018,12/31/2026,"$135,647","$12,847","$47,477","-$75,324"
CEDAR RUN EMRES MEMPHIS LLC,5958 E POINT DR,IHE0004X000000,9310000001240,01/01/2018,12/31/2037,"$186,877","$49,640",$0,"-$137,237"
CENDOWN LTD,85 SECOND,ICC07530000000,"00205300000070, 00205300000080, 00205300000090",02/13/2015,02/13/2024,"$20,313","$13,353","$2,489","-$4,471"
CEVA - INGRAM MICRO,3820 MICRO,IDB0000M000010,M0125000004730,11/19/2010,09/28/2026,"$364,482","$50,530","$80,386","-$233,566"
CHAPEL PLACE HOMES I LP,5228 WHISTLING DUCK DRIVE,IHE0003K000000,"0761430B000030, 0761430B000040, 0761430B000050, 0761430B000060, 0761430B000070, 0761430B000080, 0761430B000090, 0761430B000100, 0761430B000110, 0761430B000120, 0761430B000130, 0761430B000140, 0761430B000150, 0761430B000160, 0761430B000170, 0761430B000180, 0761430B000190, 0761430B000200, 0761430B000210, 0761430B000220, 0761430B000230, 0761430B000240, 0761430B000250, 0761430B000260, 0761430B000270, 0761430B000280, 0761430B000290, 0761430B000300, 0761430B000310, 0761430B000320, 0761430B000330, 0761430B000340, 0761430B000350, 0761430B000360, 0761430B000370, 0761430B000380, 0761430B000390, 0761430B000400, 0761430B000410, 0761430B000420, 0761430B000430, 0761430B000440, 0761430B000450, 0761430B000460, 0761430B000470, 0761430B000480, 0761430B000490, 0761430B000500, 0761430B000510, 0761430B000520, 0761430B000530, 0761430B000540, 0761430B000550, 0761430B000560, 0761430B000570, 0761430B000580, 0761430B000590, 0761430B000600,",12/07/2011,12/06/2031,"$98,520","$1,246",$0,"-$97,274"
CHARIS ACRES,2131 WILSON,IMC00000000080,0790870000058C,12/18/2012,End of Loan,"$27,192","$1,740",$0,"-$25,452"
CHARTER OAKS / S4A002 LLC,5473 VANDERGREEN DRIVE,IHE0006K000000,791600001160,07/01/2021,06/30/2041,"$21,696","$10,848",$0,"-$10,848"
CLEABORN POINTE @ HERITAGE LANDING SENIOR,440 S. LAUDERDALE,IHE0004F000000,1102300000050,12/19/2011,12/18/2031,"$1,999","$1,966",$0,-$33
"CLEABORN POINTE @ HERITAGE LANDING, PHASE II",460 S. LAUDERDALE,IHE0004G000000,"00702100000370, 00702100000380, 00702100000390, 00702100000400, 01102300000080, 01102300000090,",01/01/2023,12/31/2032,"$9,743","$3,837",$0,"-$5,906"
"CLEABORN POINTE @ HERITAGE LANDING, PHASE III",460 S. LAUDERDALE,IHE0004H000000,"00702100000370, 00702100000380, 00702100000390, 00702100000400, 01102300000080, 01102300000090,",12/01/2013,12/01/2033,"$9,743","$2,915",$0,"-$6,827"
"CLEABORN POINTE @ HERITAGE LANDING, PHASE IV",460 S. LAUDERDALE,IHE0004I000000,"00702100000370, 00702100000380, 00702100000390, 00702100000400, 00702100000410, 00702100000420, 00702100000430, 00702100000440,",12/01/2014,12/01/2034,"$13,424","$1,898",$0,"-$11,526"
CLEARBROOK VILLAGE 3516 TALL OAKS APARTMENTS LLC,3516 TALL OAKS,IHE0005N000000,7403700001740,08/01/2019,07/31/2039,"$52,761","$21,009",$0,"-$31,751"
COCA-COLA REFRESHMENTS USA INC,4774 SOUTHPOINT,IDB1130A000000,0011300000000D,12/31/2015,12/31/2030,"$2,590",$100,$648,"-$1,843"
COGNATE BIOSERVICES INC.,4600 E. SHELBY DRIVE,IDB1831A000000,D0018310000000,12/31/2021,12/31/2036,"$11,041",$0,"$2,070","-$8,970"
"COLEMAN ROAD SUPPORTIVE HOUSING, INC",2900 COLEMAN,IPH0000L000000,8800800002310,10/05/2000,End of Loan,"$27,231",$768,$0,"-$26,463"
"COTTON EXCHANGE BLDG, A LIMITED PARTNERSHIP",65 UNION,ICC00270000000,204200000290,12/01/1983,01/01/2024,"$57,526","$7,320",$0,"-$50,206"
COTTONWOOD COMPLEX,4653 COTTON DR,IHE0006P000000,7302200003580,12/31/2020,12/30/2040,"$82,395","$20,476",$0,"-$61,919"
COUNTRYSIDE NORTH APARTMENTS L.P.,6920 REESE,IPH0000D000000,9510000000750,12/01/1998,12/01/2038,"$91,035","$26,512",$0,"-$64,523"
COURT SQUARE CENTER LLC,60 MAIN,ICC07120000000,201300000030,07/31/2006,07/31/2026,"$67,236","$12,163","$13,768","-$41,304"
COURT SQUARE CENTER LLC,66 MAIN,ICC07160000000,"00201300000010, 00201300000020",07/31/2006,07/31/2026,"$101,038","$5,743","$23,824","-$71,472"
CP MEMPHIS LLC,300 SECOND,ICC03020000000,103400000030,08/31/1998,08/31/2031,"$135,102","$34,578",$0,"-$100,524"
CREEKSIDE MEADOWNS ALCO GREENBRIAR PARTNERS LP,1146 DELLWOOD,IHE0001Y000000,7000130000000,11/01/2006,12/31/2026,"$63,542","$34,251",$0,"-$29,291"
"CRESCENT BLUFF PHASE II, ECG VIRGINIA, LP",10 EAST VIRGINIA AVENUE,IHE0003Z000000,"01205200000010, 0120520000001C, 01205200000020, 01205200000030, 01205200000040, 01205200000050, 01205200000060,",12/18/2013,12/17/2033,"$251,998",$707,$0,"-$251,291"
"CRESCENT BLUFF TOV VIRGINIA PARTNERS, L.P.",45 CRESCENT BLUFF,IHE0002Y000000,1206600000010,01/27/2012,01/26/2022,"$62,581","$58,246",$0,"-$4,335"
CRESTWYN PARTNERS,9280 CRESTWYN HILLS,IDB14000000000,G0243000004890,08/16/2016,08/16/2023,"$119,643","$17,183","$25,615","-$76,845"
CROCKETT PARK (AGNES PLACE APARTMENTS),2645 DAVEY DRIVE,IHE0001B000000,"0710560A00016C, 0710560A00046Z",05/01/2005,05/01/2025,"$60,985",$187,$0,"-$60,797"
"CROSSTOWN BUILDING OWNER, LLC",0 CLAYBROOK,ICC07500000000,"02001200000020, 02001600000160, 02001600000170, 02001600000180, 02001700000020, 02001700000030, 02001700000040, 02001700000050, 02001700000060, 02001700000070, 02001700000080, 02001700000090, 02001700000100, 02001700000110, 02001700000120,",12/29/2014,12/29/2029,"$629,721","$33,086","$149,159","-$447,476"
CROWN WORLD,2990 AIRWAYS,IDB18250000000,6022000000760,04/01/2021,04/01/2031,"$11,675","$2,388","$2,322","-$6,965"
CUMMINS INC,5800 CHALLENGE,IDB1150A000000,0011500000000D,12/31/2015,12/31/2030,"$9,662",$100,"$2,415","-$7,146"
"CYBER GRAPHICS, LLC",3825 DELP,IDB1060A000000,0010600000000D,12/31/2015,12/31/2026,"$3,651",$100,$913,"-$2,638"
"CYBER GRAPHICS, LLC",4505 OLD LAMAR,IDB1540A000000,0015400000000D,12/31/2016,12/31/2027,"$62,427",$100,"$15,607","-$46,720"
DAWSON LOGISTIC ASSETS LLC,4155 HOLMES,IDB15200000000,0941000000172C,05/01/2018,05/01/2033,"$557,092","$29,235","$131,964","-$395,893"
DAYCO PRODUCTS,3530 RAINS,IDB1040A000000,0010400000000D,12/31/2015,12/31/2020,$0,$100,$0,$100
"Desoto Pointe Partners, LLC ICC0768",360 METAL MUSEUM DR,ICC07680000000,1200800000120,06/21/2019,06/21/2039,"$6,997","$1,707","$1,322","-$3,967"
DREAM INDUSTRIAL MEMPHIS 1 LLC,4770 SOUTHPOINT,IDB09910000000,9420000004310,03/31/2015,03/31/2030,"$295,181","$156,750","$39,849","-$98,582"
"DREAM INDUSTRIAL MEMPHIS 2, LLC",5605 HOLMESCREST,IDB13200000000,9410000002920,12/31/2015,12/31/2026,"$535,297","$344,637","$62,897","-$127,763"
EBROFROST - RIVIANA,2360 PROSPECT,IDB18540000000,0490680000004C,01/01/2017,01/01/2024,"$165,717","$92,343","$18,643","-$54,730"
EBROFROST NORTH AMERICA INC,2360 PROSPECT,IDB1737A000000,0017310000000D,12/31/2018,12/31/2026,"$23,053",$0,"$5,763","-$17,290"
ECG FORUM LP,0 LINDEN,IHE0005F000000,0050150000008C,01/01/2018,12/31/2037,"$280,971","$4,823",$0,"-$276,148"
ECG NORTH MAIN LP,812 N SECOND,IHE0006W000000,"022006000006C, 022006000007C, 0220060000011C, 022006000035C",11/01/2019,10/31/2039,"$125,402","$1,776",$0,"-$123,625"
"ECG UPTOWN, LP",627 MAIN,IHE0005H000000,"0010510000001C, 00105200000080",11/21/2016,11/20/2036,"$223,705","$1,117",$0,"-$222,587"
ELITE MEDICAL LLC,8415 WOLF LAKE,IDB0000B00015A,4000150000000D,12/31/2016,12/31/2022,$635,$0,$159,-$476
ELMINGTON PROPERTY MANAGEMENT,280 TILLMAN ST,IHE0006N000000,"0440000000170, 0440000000150, 044000000013C",11/01/2021,10/31/2046,"$7,461","$12,756",$0,"$5,295"
ENGINEERED MEDICAL SYSTEMS LLC,3325 APPLING,IDB0000B000180,B015800000679C,01/01/2020,01/31/2036,"$91,188","$13,000","$10,479","-$67,709"
ENGINEERED MEDICAL SYSTEMS LLC,3325 APPLING,IDB0000B00018A,178300000000,01/01/2020,12/31/2026,"$39,419",$0,"$9,855","-$29,564"
EPHRAIM M UREVBU,410 MAIN,ICC03230000000,211700000080,08/31/1998,08/31/2023,"$5,157",$868,$0,"-$4,288"
EVERGREEN PACKAGING INC,5350 POPLAR,IDB14300000000,5603900000290,11/30/2016,11/30/2031,"$225,901",$0,"$14,390","-$211,512"
EXEL,6200 GLOBAL DRIVE,IDB1798A000000,0943000000601C,12/31/2020,12/31/2027,"$191,175",$0,"$14,711","-$176,463"
EXEL,3300 TCHULATECH,IDB18210000000,"09410000003030, 09410000003190",07/01/2021,06/30/2034,"$941,827","$47,069","$223,689","-$671,068"
EXEL,6200 GLOBAL DRIVE,IDB1844A000000,0018340000000D,12/31/2021,12/01/2028,$0,"$4,024",$0,"$4,024"
EXEL,3299 TCHULATECH,IDB18490000000,9410000003180,01/01/2022,12/31/2026,"$168,737","$6,491","$24,645","-$137,600"
EXEL INC,3300 TCHULATECH DRIVE,IDB1834A000000,D0018340000000,12/31/2021,12/31/2034,"$590,454",$0,"$18,289","-$572,164"
EXEL INC,3387 TCHULATECH DRIVE,IDB1835A000000,D0018350000000,12/31/2021,12/31/2034,"$351,374",$0,"$6,780","-$344,594"
"EXETER 4155 QUEST, LLC",4155 QUESTWAY,IDB09960000000,9340000005510,12/17/2015,12/17/2030,"$411,519","$18,221","$102,880","-$290,419"
EXETER 5800 CHALLENGE LLC,5800 CHALLENGE,IDB09980000000,9340000005490,12/17/2015,12/17/2030,"$252,566","$5,723","$63,141","-$183,702"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB0967A000000,0009670000000D,12/31/2014,12/31/2027,"$42,925",$100,"$10,731","-$32,093"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1160A000000,0011600000000D,12/31/2015,12/31/2028,"$4,665",$100,"$1,166","-$3,399"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1703A000000,0017030000000D,12/31/2016,12/31/2029,"$59,235",$100,"$14,809","-$44,326"
FEDERAL EXPRESS CORPORATION,3851 AIRWAYS,IDB1704A000000,0017040000000D,12/31/2017,12/31/2030,"$65,425",$100,"$16,356","-$48,968"
FEDERAL EXPRESS CORPORATION,5050 HOLMES,IDB1750A000000,"0017500000000D, 0017540000000D",12/31/2018,12/31/2031,"$78,716",$100,"$19,679","-$58,937"
FEDEX SUPPLYCHAIN SYSTEM INC,5050 HOLMES,IDB11700000000,9420000005440,12/31/2015,10/15/2020,"$275,012","$148,079","$33,001","-$93,932"
FEDEX SUPPLYCHAIN SYSTEM INC,9 FEDEX,IDB0001C000000,C0243000004060,01/13/2019,01/13/2039,"$221,113","$48,928","$54,770","-$117,416"
FEDEX SUPPLYCHAIN SYSTEM INC,9 FEDEX,IDB0006C000000,C0243000004050,01/13/2019,01/13/2039,"$1,497,979","$358,752","$374,495","-$764,732"
FEELS LIKE HOME SENIOR RESIDENCES,3393 KIRBY,IHE0005O000000,9350000004860,01/01/2020,12/31/2039,"$62,045","$13,721",$0,"-$48,324"
FIELDERS SQUARE - FORUM RESIDENTIAL PARTNERS,41 FOURTH,ICC03850000000,"00206100000050, 0020610000006C, 00206100000240, 0050010000020C, 0050020000001C,",05/17/2000,05/17/2039,"$488,471","$33,992",$0,"-$454,479"
FILAMENT LLC,663 COOPER,ICC07750000000,"03002800000130, 0300280000013C, 03002800000140",08/31/2018,08/31/2022,"$16,700","$5,582","$7,847","-$3,271"
"FINARD COURT SQUARE, LLC",30 SECOND,ICC07280000000,202500000010,08/28/2008,08/28/2023,"$28,963","$2,327","$6,659","-$19,977"
"FLATS AT OVERTON SQUARE - PMT INVESTMENTS, LLC",0 DIANA,ICC07700000000,"01706400000090, 01706400000100",01/30/2019,01/30/2027,"$20,457",$835,"$4,905","-$14,716"
